order_id,customer_id,product_id,quantity,amount,status,order_date
O1001,C001,P01,3,13.50,paid,2025-01-04
O1002,C001,P03,1,39.90,paid,2025-01-11
O1003,C002,P02,2,48.00,pending,2025-01-12
O1004,C003,P01,10,45.00,paid,2025-01-15
O1005,C003,P05,4,29.00,refunded,2025-01-19
O1006,C004,P04,1,12.00,paid,2025-01-22
O1007,C004,P02,1,,pending,2025-01-25
O1008,C005,P06,2,36.00,paid,2025-02-01
O1009,C005,P01,6,27.00,paid,2025-02-03
O1010,C006,P03,1,39.90,refunded,2025-02-08
O1011,C006,P05,8,58.00,paid,2025-02-14
O1012,C007,P02,3,72.00,paid,2025-02-17
O1013,C007,P04,2,24.00,pending,2025-02-21
O1014,C008,P01,1,4.50,paid,2025-02-25
O1015,C008,P06,1,,pending,2025-03-02
O1016,C001,P05,2,14.50,paid,2025-03-05
O1017,C002,P04,5,60.00,paid,2025-03-09
O1018,C003,P02,1,24.00,paid,2025-03-13
O1019,C005,P03,2,79.80,paid,2025-03-16
O1020,C007,P01,12,54.00,paid,2025-03-20
O1021,C099,P01,1,4.50,paid,2025-03-24
O1022,C002,P06,3,54.00,refunded,2025-03-27
O1023,C004,P05,2,14.50,paid,2025-04-02
O1024,C006,P02,1,24.00,pending,2025-04-06
O1025,C008,P03,1,39.90,paid,2025-04-10
O1026,C001,P04,4,48.00,paid,2025-04-14
O1027,C003,P06,1,18.00,paid,2025-04-18
O1028,C007,P05,3,21.75,paid,2025-04-22
O1014,C008,P01,1,4.50,paid,2025-02-25
O1014,C008,P01,1,4.50,paid,2025-02-25
